0,1,year
加油,420548,2014
我们,119480,2014
支持,75099,2014
自己,59476,2014
相信,58767,2014
凯凯,51677,2014
不要,49654,2014
原谅,48898,2014
一直,47727,2014
喜欢,45635,2014
吸毒,45474,2014
希望,42438,2014
柯震东,42425,2014
永远,40277,2014
一定,38645,2014
更好,38413,2014
不是,37390,2014
还是,37093,2014
好好,33975,2014
柯震東,32973,2014
一个,30252,2014
什么,30102,2014
呵呵,29863,2014
没有,29212,2014
可以,29208,2014
犯错,29154,2014
每个,28498,2014
知道,27367,2014
心心,27161,2014
就是,25269,2014
东东,25049,2014
机会,23763,2014
你们,23751,2014
太阳,23563,2014
粉丝,23495,2014
一次,22701,2014
真的,22463,2014
以后,20989,2014
大家,20853,2014
不会,20437,2014
那些,20215,2014
别人,19472,2014
看到,19349,2014
因为,18649,2014
拜拜,18385,2014
现在,18078,2014
怎么,17969,2014
爱心,17868,2014
强壮,17244,2014
鲜花,17189,2014
男神,16800,2014
时候,16365,2014
但是,15876,2014
只要,15192,2014
评论,15094,2014
那么,14768,2014
一切,14315,2014
这样,14279,2014
微博,14271,2014
应该,14031,2014
只是,13975,2014
努力,13931,2014
飞吻,13921,2014
这么,13897,2014
起来,13770,2014
出来,13441,2014
失望,13059,2014
还有,12999,2014
不能,12789,2014
期待,12509,2014
改正,12438,2014
觉得,12311,2014
幸福,12309,2014
依然,12134,2014
他们,12082,2014
如果,11712,2014
开心,11604,2014
重新,11307,2014
拥抱,11298,2014
所以,11243,2014
一样,10962,2014
可爱,10935,2014
这个,10877,2014
那个,10236,2014
知错,10224,2014
虽然,10213,2014
时代,10133,2014
不管,10059,2014
错误,10038,2014
晚安,10012,2014
很多,9621,2014
继续,9542,2014
悲伤,9474,2014
过去,9399,2014
已经,9144,2014
终于,9057,2014
年轻,9016,2014
改过,9013,2014
嘻嘻,8975,2014
鼓掌,8840,2014
加油,191611,2015
喜欢,37432,2015
我们,37044,2015
支持,36034,2015
新年快乐,34547,2015
凯凯,30894,2015
柯震東,29514,2015
没有,28415,2015
还是,26983,2015
一直,25847,2015
吸毒,25332,2015
永远,25109,2015
自己,24844,2015
柯震东,22617,2015
鲜花,22194,2015
爱心,21451,2015
快乐,20352,2015
微笑,19978,2015
什么,19579,2015
不要,18973,2015
心心,18953,2015
希望,18537,2015
男神,18258,2015
时代,17032,2015
不是,16455,2015
就是,16399,2015
看到,15973,2015
好好,15042,2015
飞吻,14604,2015
悲伤,14452,2015
可以,13795,2015
呵呵,13589,2015
一个,13560,2015
真的,13027,2015
怎么,12960,2015
开心,12860,2015
原谅,12512,2015
太阳,12053,2015
知道,12047,2015
祈祷,12019,2015
期待,11533,2015
别人,11435,2015
可爱,11309,2015
相信,11284,2015
害羞,11119,2015
东东,11050,2015
那么,11000,2015
终于,10800,2015
顾源,10286,2015
嘻嘻,10210,2015
一定,9783,2015
你们,9741,2015
鼓掌,9716,2015
那些,9680,2015
因为,9420,2015
这么,9414,2015
依然,9062,2015
亲亲,8781,2015
拜拜,8664,2015
现在,8596,2015
觉得,8583,2015
强壮,8400,2015
评论,8333,2015
不会,8293,2015
时候,8275,2015
犯错,8174,2015
大家,7773,2015
更好,7728,2015
微博,7660,2015
这样,7531,2015
哈哈,7411,2015
还有,7250,2015
为什么,6995,2015
出来,6964,2015
玫瑰,6945,2015
努力,6938,2015
我爱你,6858,2015
晚安,6766,2015
泪泪,6610,2015
过去,6576,2015
粉丝,6541,2015
如果,6500,2015
一切,6399,2015
但是,6399,2015
不能,6363,2015
你好,6148,2015
开始,6115,2015
每个,6095,2015
一样,6043,2015
以后,6016,2015
花心,6010,2015
机会,5902,2015
依旧,5873,2015
帅帅,5873,2015
好想你,5839,2015
一起,5806,2015
这个,5783,2015
情人节,5662,2015
柯震,5640,2015
不管,5582,2015
加油,116601,2016
吸毒,94405,2016
喜欢,54087,2016
微笑,49849,2016
自己,44381,2016
我们,43766,2016
生日快乐,40468,2016
什么,38043,2016
爱心,34893,2016
不是,34134,2016
可以,34092,2016
柯震东,33591,2016
一个,33055,2016
没有,32644,2016
不要,31737,2016
还是,31568,2016
你们,31158,2016
就是,30607,2016
那些,30434,2016
原谅,29937,2016
支持,28339,2016
一直,27294,2016
别人,26152,2016
希望,25947,2016
怎么,24799,2016
心心,24793,2016
知道,23338,2016
警察,22999,2016
柯震東,22716,2016
真的,21831,2016
快乐,21424,2016
评论,20991,2016
永远,20282,2016
缉毒,19677,2016
好好,19480,2016
这么,19383,2016
青春,18920,2016
那么,18345,2016
犯错,17767,2016
鲜花,17619,2016
觉得,17013,2016
凯凯,16174,2016
不能,15887,2016
看到,15605,2016
因为,15450,2016
这样,15172,2016
现在,14761,2016
但是,14420,2016
这个,14318,2016
可爱,14129,2016
机会,13733,2016
出来,13502,2016
为什么,13404,2016
不会,13033,2016
如果,12964,2016
摊手,12832,2016
时候,12646,2016
粉丝,12642,2016
公众,12465,2016
他们,12426,2016
努力,12125,2016
只是,12093,2016
明星,11753,2016
人家,11602,2016
开心,11554,2016
还有,11481,2016
应该,11097,2016
蛋糕,10975,2016
悲伤,10937,2016
一样,10658,2016
拜拜,10501,2016
微博,10434,2016
这种,10237,2016
每个,10233,2016
所以,9665,2016
人物,9645,2016
一定,9495,2016
娱乐圈,9118,2016
已经,9095,2016
哈哈哈,9021,2016
呵呵,8799,2016
继续,8773,2016
男神,8748,2016
蜡烛,8614,2016
飞吻,8571,2016
一次,8532,2016
心疼,8297,2016
老公,8269,2016
大家,8134,2016
害羞,8119,2016
这些,7981,2016
脑残粉,7967,2016
相信,7960,2016
过去,7875,2016
心心心,7782,2016
情人节,7702,2016
一起,7690,2016
残粉,7656,2016
以后,7581,2016
柯景腾,7541,2016
吸毒,47123,2017
喜欢,21468,2017
加油,15060,2017
柯震东,14648,2017
自己,14591,2017
什么,14544,2017
你们,14520,2017
生日快乐,14085,2017
不是,12683,2017
微笑,12487,2017
没有,11937,2017
可以,10865,2017
一个,10743,2017
原谅,10659,2017
就是,10634,2017
别人,10477,2017
还是,10018,2017
不要,9665,2017
警察,9507,2017
缉毒,9326,2017
我们,9239,2017
怎么,9081,2017
知道,8863,2017
评论,8398,2017
真的,8211,2017
希望,7496,2017
这么,7436,2017
人家,7215,2017
那些,7143,2017
摊手,6516,2017
因为,6508,2017
爱心,6433,2017
一直,6194,2017
不能,6170,2017
觉得,6152,2017
好好,6143,2017
演员,6039,2017
这样,5998,2017
为什么,5969,2017
那么,5904,2017
犯错,5860,2017
支持,5818,2017
任涛,5355,2017
但是,5174,2017
开心,5159,2017
这个,5107,2017
微博,4975,2017
现在,4908,2017
心心,4906,2017
挺住,4782,2017
哈哈哈,4720,2017
他们,4690,2017
粉丝,4649,2017
不会,4550,2017
如果,4547,2017
出来,4407,2017
脑残粉,4361,2017
这种,4309,2017
看到,4301,2017
明星,4246,2017
新年快乐,4200,2017
还有,4161,2017
永远,4099,2017
关注,4066,2017
应该,3966,2017
只是,3899,2017
时候,3851,2017
快乐,3817,2017
情话,3797,2017
残粉,3790,2017
七分,3774,2017
已经,3757,2017
好久不见,3729,2017
搞笑,3724,2017
牺牲,3638,2017
这些,3606,2017
机会,3605,2017
一样,3593,2017
柯震東,3538,2017
公众,3534,2017
凯凯,3453,2017
可爱,3437,2017
每个,3421,2017
一生,3367,2017
恶心,3285,2017
生活,3220,2017
所以,3219,2017
过去,3180,2017
蛋糕,2976,2017
鲜花,2933,2017
草原,2876,2017
野猫,2869,2017
三观,2832,2017
排行榜,2825,2017
搜微博,2811,2017
人物,2801,2017
真是,2786,2017
一次,2700,2017
呵呵,2639,2017
哈哈,2639,2017
吸毒,25945,2018
喜欢,10010,2018
加油,9124,2018
什么,7097,2018
缉毒,7033,2018
原谅,6914,2018
自己,6734,2018
可以,6468,2018
警察,6465,2018
不是,6235,2018
没有,5983,2018
你们,5938,2018
一个,5656,2018
就是,5542,2018
真的,4787,2018
不要,4736,2018
柯震东,4684,2018
别人,4545,2018
还是,4516,2018
微笑,4498,2018
我们,4318,2018
那些,4267,2018
鲜花,4227,2018
不能,4225,2018
怎么,4194,2018
知道,3754,2018
希望,3687,2018
这么,3639,2018
一直,3538,2018
评论,3435,2018
快乐,3301,2018
觉得,3226,2018
为什么,3194,2018
人家,3159,2018
犯错,3069,2018
明星,3057,2018
可爱,3053,2018
现在,3008,2018
心心,2972,2018
但是,2927,2018
生日快乐,2874,2018
他们,2842,2018
出来,2819,2018
如果,2818,2018
公众,2712,2018
这个,2674,2018
微博,2644,2018
这样,2595,2018
开心,2587,2018
那么,2537,2018
因为,2482,2018
好好,2423,2018
支持,2403,2018
粉丝,2375,2018
爱心,2362,2018
牺牲,2350,2018
机会,2322,2018
人物,2239,2018
生活,2207,2018
不会,2145,2018
哈哈哈,2142,2018
一生,2139,2018
这种,2133,2018
看到,2118,2018
应该,2075,2018
时候,2057,2018
一颗,2011,2018
还有,1997,2018
已经,1983,2018
永远,1926,2018
张无忌,1903,2018
挺住,1867,2018
三观,1859,2018
萝卜,1857,2018
一样,1851,2018
只是,1845,2018
田里,1829,2018
大萝卜,1827,2018
这些,1820,2018
一起,1762,2018
艺人,1742,2018
一定,1704,2018
关注,1694,2018
好久不见,1576,2018
所以,1505,2018
毒品,1493,2018
凯凯,1434,2018
每个,1406,2018
好像,1383,2018
情人节,1365,2018
大家,1364,2018
可能,1362,2018
大陆,1355,2018
嘻嘻,1342,2018
脑残粉,1333,2018
一次,1326,2018
中国,1325,2018
键盘,1318,2018
犯罪,1301,2018
今天,1299,2018
吸毒,952,2019
加油,348,2019
警察,315,2019
缉毒,306,2019
可以,227,2019
什么,201,2019
没有,176,2019
不是,176,2019
自己,171,2019
原谅,168,2019
喜欢,164,2019
一个,161,2019
就是,151,2019
你们,140,2019
我们,140,2019
真的,126,2019
别人,119,2019
评论,118,2019
怎么,115,2019
公众,115,2019
因为,113,2019
毒品,112,2019
不能,111,2019
这么,111,2019
人家,110,2019
那些,109,2019
一起,105,2019
艺人,104,2019
人物,97,2019
牺牲,95,2019
哥哥,94,2019
觉得,94,2019
知道,94,2019
如果,91,2019
还是,88,2019
他们,88,2019
不要,85,2019
一直,80,2019
但是,80,2019
犯错,80,2019
现在,78,2019
微博,77,2019
这种,77,2019
柯震东,75,2019
应该,75,2019
哈哈哈,74,2019
为什么,73,2019
不会,70,2019
出来,69,2019
改过自新,68,2019
三观,66,2019
生活,63,2019
今天,62,2019
希望,61,2019
时候,61,2019
这个,61,2019
这样,56,2019
机会,56,2019
这些,54,2019
好好,53,2019
那么,53,2019
是不是,53,2019
还有,52,2019
明星,52,2019
挺住,52,2019
多少,51,2019
脑子,51,2019
太阳,50,2019
粉丝,49,2019
亮哥,48,2019
中国,48,2019
永远,47,2019
木目,47,2019
生日快乐,46,2019
两口,45,2019
支持,45,2019
一生,44,2019
已经,44,2019
键盘,44,2019
看到,44,2019
只是,43,2019
为了,43,2019
毒贩,43,2019
一样,42,2019
可能,40,2019
东西,40,2019
不配,40,2019
难道,39,2019
说话,39,2019
社会,39,2019
兄弟,38,2019
楼主,38,2019
绘里,38,2019
继续,38,2019
开心,37,2019
关注,37,2019
禁毒,37,2019
俗世,37,2019
美人,37,2019
一次,36,2019
